ID,Impact Bond Name,Stage of Development,Dates - Date outcomes contract signed - (Value),Dates - Date contracts between all parties signed - (Value),Dates - Anticipated completion date - (Value),Dates - Actual completion date - (Value),Dates - Start date of service provision - (Value),Dates - Anticipated end date of service provision - (Value),Dates - Actual end date of service provision - (Value),Dates - Anticipated duration of service provision - (Value),Dates - Actual duration of service provision - (Value),Jurisdiction - Jurisdiction - (Value),Overall project finance – currency,Overall project finance – minimum,Overall project finance – exact,Overall project finance – max,Overall project finance – minimum in USD,Overall project finance – exact in USD,Overall project finance – maximum in USD,Overall Project Finance – maximum potential loss,Overall Project Finance – maximum potential return type,Overall project finance – maximum potential return,Overall project finance – investor repayment,Overall project finance - Total outcome payments made - Currency - (Value),Overall project finance - Total outcome payments made - Amount - (Value),Overall project finance - Total outcome payments made - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Currency - (Value),Investment Details - Total Funds Invested - Latest - Amount - (Value),Investment Details - Total Funds Invested - Latest - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Date - (Value),Investment Details - Internal Rate of Return - Target - (Value),Investment Details - Internal Rate of Return - Date - (Value),Investment Details - Internal Rate of Return - Latest - (Value),Purpose and classifications - Social challenge - (Value),Purpose and classifications - Policy sector - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Service and beneficiaries - Target population - (Value),Service and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value),success
INDIGO-POJ-0103,The Blood Bank of Delmarva Young Blood Sustainability Project,Complete,2022-03-07,2022-03-07,2025-10-31,2025-10-31,2022-03-07,2025-10-31,2025-10-31,1334,1334,United Kingdom,EUR,237317.08,296646.35,355975.62,261048.79,326310.99,391573.18,59329.27,Variable,74161.59,318894.83,EUR,271060.6,298166.66,EUR,296646.35,326310.99,2022-03-07,0.0737,2025-10-31,0.0974,Youth unemployment,Education,SDG 10,SDG 12,Target 1.3,Target 5.1,Refugees,609,469,1
INDIGO-POJ-0104,The Veterans Coordinated Approach to Recovery and Employment (Veterans CARE),Complete,2018-09-03,2018-09-03,2021-07-28,2021-07-28,2018-09-03,2021-07-28,2021-07-28,1059,1059,Canada,GBP,207521.52,259401.89,311282.27,228273.67,285342.08,342410.5,51880.38,Variable,64850.47,278857.04,GBP,237028.48,260731.33,GBP,259401.89,285342.08,2018-09-03,0.0808,2021-07-28,0.0996,Mental health,Housing,SDG 12,SDG 17,Target 5.1,Target 7.1,Disabled persons,384,295,1
INDIGO-POJ-0105,Jefferson County Fostering Opportunities Pay for Success Initiative,Implementation,2011-10-18,2011-10-18,2014-08-19,2014-08-19,2011-10-18,2014-08-19,2014-08-19,1036,1036,USA,EUR,283229.97,354037.46,424844.95,311552.97,389441.21,467329.45,70807.49,Fixed,88509.37,377049.9,EUR,320492.41,352541.65,EUR,354037.46,389441.21,2011-10-18,0.0523,2014-08-19,0.0745,Mental health,Housing,SDG 14,SDG 6,Target 8.3,Target 8.1,Refugees,645,625,1
INDIGO-POJ-0106,Multi-Systemic Therapy Colorado,Planned,2024-04-19,2024-04-19,2027-07-29,2027-07-29,2024-04-19,2027-07-29,2027-07-29,1196,1196,Australia,EUR,241003.6,301254.5,361505.4,265103.96,331379.95,397655.94,60250.9,Fixed,75313.63,317823.5,EUR,270149.98,297164.97,EUR,301254.5,331379.95,2024-04-19,0.0928,2027-07-29,0.0906,Youth unemployment,Health,SDG 5,SDG 15,Target 1.2,Target 2.2,Refugees,592,497,0
INDIGO-POJ-0107,Rapid Response for Run Away Youth,Complete,2025-03-25,2025-03-25,2028-10-01,2028-10-01,2025-03-25,2028-10-01,2028-10-01,1286,1286,USA,EUR,290781.96,363477.45,436172.94,319860.16,399825.2,479790.24,72695.49,Fixed,90869.36,394373.04,EUR,335217.08,368738.79,EUR,363477.45,399825.2,2025-03-25,0.0581,2028-10-01,0.0941,Homelessness,Housing,SDG 3,SDG 5,Target 9.3,Target 7.3,Refugees,316,360,1
INDIGO-POJ-0108,Oklahoma Intensive Safety Services,Implementation,2018-09-06,2018-09-06,2022-10-30,2022-10-30,2018-09-06,2022-10-30,2022-10-30,1515,1515,USA,USD,88483.62,110604.52,132725.43,97331.98,121664.98,145997.97,22120.9,Fixed,27651.13,117240.8,USD,99654.68,109620.14,USD,110604.52,121664.98,2018-09-06,0.0793,2022-10-30,0.0863,Homelessness,Employment and training,SDG 15,SDG 7,Target 10.3,Target 8.2,Youth,275,210,1
INDIGO-POJ-0109,Entrenched Homelessness Social Impact Bond- ACTion Glos (Gloucestershire),Complete,2019-12-26,2019-12-26,2021-06-22,2021-06-22,2019-12-26,2021-06-22,2021-06-22,544,544,USA,EUR,380873.68,476092.1,571310.52,418961.04,523701.31,628441.57,95218.42,Fixed,119023.02,514179.46,EUR,437052.54,480757.8,EUR,476092.1,523701.31,2019-12-26,0.0788,2021-06-22,0.1167,Homelessness,Health,SDG 10,SDG 10,Target 3.2,Target 6.5,Women,405,420,1
INDIGO-POJ-0110,Entrenched Homelessness Social Impact Bond- ACTion Lincs (Lincolnshire),Complete,2010-08-04,2010-08-04,2013-08-12,2013-08-12,2010-08-04,2013-08-12,2013-08-12,1104,1104,USA,CAD,226640.92,283301.16,339961.39,249305.02,311631.27,373957.53,56660.23,Fixed,70825.29,303132.24,CAD,257662.4,283428.64,CAD,283301.16,311631.27,2010-08-04,0.0773,2013-08-12,0.0911,Youth unemployment,Housing,SDG 5,SDG 3,Target 2.3,Target 7.4,Disabled persons,788,820,1
INDIGO-POJ-0111,The Step Down Programme (Birmingham),Complete,2024-05-29,2024-05-29,2025-10-27,2025-10-27,2024-05-29,2025-10-27,2025-10-27,516,516,Canada,AUD,381268.74,476585.92,571903.11,419395.61,524244.52,629093.42,95317.18,Fixed,119146.48,514712.8,AUD,437505.88,481256.47,AUD,476585.92,524244.52,2024-05-29,0.0693,2025-10-27,0.1007,Mental health,Criminal justice,SDG 12,SDG 5,Target 9.5,Target 3.2,Disabled persons,256,275,1
INDIGO-POJ-0112,Bradford Positive and Included,Implementation,2013-08-19,2013-08-19,2016-06-09,2016-06-09,2013-08-19,2016-06-09,2016-06-09,1025,1025,USA,GBP,102780.37,128475.46,154170.55,113058.4,141323.01,169587.61,25695.09,Fixed,32118.86,135541.61,GBP,115210.37,126731.41,GBP,128475.46,141323.01,2013-08-19,0.0659,2016-06-09,0.0678,Mental health,Criminal justice,SDG 10,SDG 3,Target 5.2,Target 9.3,Women,510,403,1
INDIGO-POJ-0113,Improving HIV Treatment SIB (Elton John AIDS Foundation),Implementation,2013-10-13,2013-10-13,2018-02-06,2018-02-06,2013-10-13,2018-02-06,2018-02-06,1577,1577,Australia,CAD,350360.1,437950.12,525540.15,385396.11,481745.14,578094.16,87590.02,Variable,109487.53,464227.13,CAD,394593.06,434052.37,CAD,437950.12,481745.14,2013-10-13,0.0512,2018-02-06,0.0582,Mental health,Education,SDG 11,SDG 2,Target 1.1,Target 1.5,Refugees,415,269,1
INDIGO-POJ-0114,North West London End of Life Care Integrator ,Complete,2010-09-06,2010-09-06,2014-06-21,2014-06-21,2010-09-06,2014-06-21,2014-06-21,1384,1384,USA,CAD,117812.74,147265.93,176719.12,129594.02,161992.52,194391.03,29453.19,Variable,36816.48,159783.54,CAD,135816.0,149397.61,CAD,147265.93,161992.52,2010-09-06,0.0848,2014-06-21,0.1241,Homelessness,Employment and training,SDG 16,SDG 8,Target 7.3,Target 8.1,Youth,650,594,1
INDIGO-POJ-0116,Healthier Devon,Implementation,2017-08-18,2017-08-18,2022-01-11,2022-01-11,2017-08-18,2022-01-11,2022-01-11,1607,1607,USA,GBP,281261.71,351577.14,421892.57,309387.88,386734.85,464081.82,70315.43,Fixed,87894.28,376187.54,GBP,319759.41,351735.35,GBP,351577.14,386734.85,2017-08-18,0.0939,2022-01-11,0.1179,Youth unemployment,Employment and training,SDG 12,SDG 13,Target 3.3,Target 9.5,Youth,447,378,1
INDIGO-POJ-0117,Positive Families Partnership,Implementation,2015-07-24,2015-07-24,2017-05-07,2017-05-07,2015-07-24,2017-05-07,2017-05-07,653,653,United Kingdom,USD,170251.06,212813.83,255376.59,187276.17,234095.21,280914.25,42562.77,Variable,53203.46,224518.59,USD,190840.8,209924.88,USD,212813.83,234095.21,2015-07-24,0.0589,2017-05-07,0.067,Homelessness,Employment and training,SDG 13,SDG 14,Target 4.2,Target 6.5,Refugees,981,991,1
INDIGO-POJ-0118,Mental Health and Employment Partnership (MHEP) Staffordshire,Complete,2020-06-21,2020-06-21,2024-04-07,2024-04-07,2020-06-21,2024-04-07,2024-04-07,1386,1386,Canada,EUR,320196.72,400245.9,480295.08,352216.39,440270.49,528324.59,80049.18,Variable,100061.48,434266.8,EUR,369126.78,406039.46,EUR,400245.9,440270.49,2020-06-21,0.0903,2024-04-07,0.1252,Homelessness,Health,SDG 3,SDG 13,Target 9.4,Target 4.2,Refugees,251,229,1
INDIGO-POJ-0119,Reconnections Worcestershire ,Implementation,2024-09-03,2024-09-03,2029-06-11,2029-06-11,2024-09-03,2029-06-11,2029-06-11,1742,1742,USA,AUD,199045.79,248807.23,298568.68,218950.37,273687.96,328425.55,49761.45,Fixed,62201.81,261247.6,AUD,222060.46,244266.5,AUD,248807.23,273687.96,2024-09-03,0.0888,2029-06-11,0.0894,Youth unemployment,Criminal justice,SDG 1,SDG 4,Target 7.2,Target 5.3,Disabled persons,246,194,1
INDIGO-POJ-0120,Ways to Wellness ,Implementation,2014-05-14,2014-05-14,2017-05-25,2017-05-25,2014-05-14,2017-05-25,2017-05-25,1107,1107,USA,CAD,189057.13,236321.42,283585.7,207962.85,259953.56,311944.27,47264.28,Variable,59080.35,249319.09,CAD,211921.23,233113.35,CAD,236321.42,259953.56,2014-05-14,0.0965,2017-05-25,0.1004,Homelessness,Health,SDG 13,SDG 17,Target 8.5,Target 5.5,Youth,299,249,1
INDIGO-POJ-0121,Care Leavers Social Impact Bond: Reboot West (Bristol),Complete,2017-08-09,2017-08-09,2021-09-24,2021-09-24,2017-08-09,2021-09-24,2021-09-24,1507,1507,Australia,EUR,320278.74,400348.43,480418.11,352306.62,440383.27,528459.92,80069.69,Variable,100087.11,432376.3,EUR,367519.86,404271.84,EUR,400348.43,440383.27,2017-08-09,0.0877,2021-09-24,0.1232,Mental health,Education,SDG 17,SDG 13,Target 9.1,Target 1.1,Women,541,470,1
INDIGO-POJ-0122,I-Aspire (Lewisham),Planned,2021-07-25,2021-07-25,2023-05-07,2023-05-07,2021-07-25,2023-05-07,2023-05-07,651,651,USA,EUR,112999.64,141249.55,169499.46,124299.6,155374.5,186449.4,28249.91,Variable,35312.39,147605.78,EUR,125464.91,138011.4,EUR,141249.55,155374.5,2021-07-25,0.0951,2023-05-07,0.0967,Mental health,Education,SDG 13,SDG 10,Target 10.3,Target 9.5,Disabled persons,776,750,1
INDIGO-POJ-0123,Project Apollo ,Complete,2018-04-06,2018-04-06,2021-02-12,2021-02-12,2018-04-06,2021-02-12,2021-02-12,1043,1043,Canada,USD,182415.87,228019.84,273623.81,200657.46,250821.82,300986.19,45603.97,Variable,57004.96,245121.33,USD,208353.13,229188.44,USD,228019.84,250821.82,2018-04-06,0.0948,2021-02-12,0.1199,Mental health,Criminal justice,SDG 10,SDG 1,Target 10.4,Target 5.5,Women,252,153,1
INDIGO-POJ-0124,Mental Health and Employment Partnership (MHEP) North London - Camden,Planned,2024-02-09,2024-02-09,2028-07-31,2028-07-31,2024-02-09,2028-07-31,2028-07-31,1634,1634,Australia,AUD,204544.54,255680.67,306816.81,224998.99,281248.74,337498.49,51136.13,Fixed,63920.17,268464.71,AUD,228195.0,251014.5,AUD,255680.67,281248.74,2024-02-09,0.0505,2028-07-31,0.0522,Homelessness,Education,SDG 2,SDG 4,Target 4.1,Target 8.3,Disabled persons,622,496,1
INDIGO-POJ-0126,Community Owned Prevention,Implementation,2023-09-19,2023-09-19,2027-05-11,2027-05-11,2023-09-19,2027-05-11,2027-05-11,1330,1330,Australia,USD,384194.29,480242.86,576291.43,422613.72,528267.14,633920.57,96048.57,Variable,120060.71,509057.43,USD,432698.82,475968.7,USD,480242.86,528267.14,2023-09-19,0.0787,2027-05-11,0.088,Youth unemployment,Criminal justice,SDG 7,SDG 11,Target 8.5,Target 7.3,Women,745,708,1
INDIGO-POJ-0127,HCT Independent Travel Training SIB (Norfolk),Complete,2025-04-08,2025-04-08,2029-11-15,2029-11-15,2025-04-08,2029-11-15,2029-11-15,1682,1682,Canada,EUR,282187.91,352734.88,423281.86,310406.7,388008.37,465610.05,70546.98,Variable,88183.72,380953.68,EUR,323810.62,356191.69,EUR,352734.88,388008.37,2025-04-08,0.0724,2029-11-15,0.0974,Mental health,Education,SDG 8,SDG 9,Target 9.3,Target 4.3,Refugees,412,286,1
INDIGO-POJ-0128,HCT Independent Travel Training SIB (Surrey),Implementation,2017-10-28,2017-10-28,2021-12-18,2021-12-18,2017-10-28,2021-12-18,2021-12-18,1512,1512,USA,EUR,295205.91,369007.38,442808.86,324726.5,405908.12,487089.74,73801.48,Variable,92251.85,391147.83,EUR,332475.65,365723.22,EUR,369007.38,405908.12,2017-10-28,0.0876,2021-12-18,0.0915,Mental health,Health,SDG 13,SDG 13,Target 6.2,Target 5.1,Refugees,280,242,1
INDIGO-POJ-0129,End of Life Care Integrator (Hillingdon),Complete,2020-09-29,2020-09-29,2022-12-11,2022-12-11,2020-09-29,2022-12-11,2022-12-11,803,803,USA,GBP,333305.29,416631.62,499957.94,366635.82,458294.78,549953.74,83326.32,Fixed,104157.9,449962.15,GBP,382467.82,420714.61,GBP,416631.62,458294.78,2020-09-29,0.0895,2022-12-11,0.1194,Homelessness,Criminal justice,SDG 9,SDG 5,Target 2.5,Target 10.2,Women,885,800,1
INDIGO-POJ-0130,Essex County Council Multi-Systemic Therapy (MST),Complete,2011-03-07,2011-03-07,2012-09-27,2012-09-27,2011-03-07,2012-09-27,2012-09-27,570,570,USA,AUD,98418.8,123023.5,147628.2,108260.68,135325.85,162391.03,24604.7,Variable,30755.88,131020.03,AUD,111367.03,122503.73,AUD,123023.5,135325.85,2011-03-07,0.0775,2012-09-27,0.088,Youth unemployment,Housing,SDG 4,SDG 5,Target 1.5,Target 3.4,Disabled persons,866,865,1
INDIGO-POJ-0131,Ambition,Implementation,2024-06-27,2024-06-27,2025-10-26,2025-10-26,2024-06-27,2025-10-26,2025-10-26,486,486,Australia,USD,221289.76,276612.2,331934.64,243418.74,304273.42,365128.1,55322.44,Fixed,69153.05,289059.75,USD,245700.79,270270.87,USD,276612.2,304273.42,2024-06-27,0.0944,2025-10-26,0.0853,Homelessness,Criminal justice,SDG 2,SDG 6,Target 7.2,Target 1.4,Disabled persons,966,942,0
INDIGO-POJ-0132,Aspire,Planned,2022-09-27,2022-09-27,2027-02-12,2027-02-12,2022-09-27,2027-02-12,2027-02-12,1599,1599,USA,USD,125757.34,157196.67,188636.01,138333.07,172916.34,207499.61,31439.33,Fixed,39299.17,166628.47,USD,141634.2,155797.62,USD,157196.67,172916.34,2022-09-27,0.0881,2027-02-12,0.0965,Homelessness,Employment and training,SDG 15,SDG 17,Target 8.2,Target 9.4,Refugees,315,281,1
INDIGO-POJ-0133,Depaul,Complete,2024-07-16,2024-07-16,2026-12-24,2026-12-24,2024-07-16,2026-12-24,2026-12-24,891,891,United Kingdom,GBP,277829.78,347287.23,416744.67,305612.76,382015.95,458419.14,69457.45,Fixed,86821.81,376806.64,GBP,320285.64,352314.21,GBP,347287.23,382015.95,2024-07-16,0.0551,2026-12-24,0.0913,Homelessness,Employment and training,SDG 10,SDG 7,Target 3.5,Target 7.4,Refugees,610,489,1
INDIGO-POJ-0134,Fusion,Planned,2013-02-25,2013-02-25,2016-10-29,2016-10-29,2013-02-25,2016-10-29,2016-10-29,1342,1342,Australia,EUR,103284.16,129105.2,154926.24,113612.58,142015.72,170418.87,25821.04,Fixed,32276.3,135560.46,EUR,115226.39,126749.03,EUR,129105.2,142015.72,2013-02-25,0.0911,2016-10-29,0.0886,Mental health,Health,SDG 9,SDG 13,Target 4.4,Target 5.3,Refugees,940,844,0
INDIGO-POJ-0135,Home Group,Implementation,2018-01-24,2018-01-24,2022-12-12,2022-12-12,2018-01-24,2022-12-12,2022-12-12,1783,1783,United Kingdom,GBP,305997.51,382496.89,458996.27,336597.26,420746.58,504895.9,76499.38,Fixed,95624.22,405446.7,GBP,344629.7,379092.67,GBP,382496.89,420746.58,2018-01-24,0.0541,2022-12-12,0.0568,Mental health,Health,SDG 15,SDG 10,Target 3.4,Target 9.3,Youth,502,458,1
INDIGO-POJ-0136,Local Solutions,Implementation,2012-12-30,2012-12-30,2016-09-04,2016-09-04,2012-12-30,2016-09-04,2016-09-04,1344,1344,Canada,GBP,340095.86,425119.83,510143.79,374105.45,467631.81,561158.17,85023.97,Fixed,106279.96,450627.02,GBP,383032.96,421336.26,GBP,425119.83,467631.81,2012-12-30,0.0974,2016-09-04,0.1003,Mental health,Criminal justice,SDG 12,SDG 14,Target 9.4,Target 9.2,Women,972,870,1
INDIGO-POJ-0137,St Basil's,Implementation,2021-11-05,2021-11-05,2026-10-16,2026-10-16,2021-11-05,2026-10-16,2026-10-16,1806,1806,United Kingdom,EUR,395520.34,494400.43,593280.51,435072.37,543840.47,652608.56,98880.09,Variable,123600.11,524064.45,EUR,445454.78,490000.26,EUR,494400.43,543840.47,2021-11-05,0.0877,2026-10-16,0.0941,Homelessness,Criminal justice,SDG 4,SDG 2,Target 9.5,Target 4.5,Women,535,452,1
INDIGO-POJ-0138,The Advance Programme,Planned,2014-08-10,2014-08-10,2018-11-16,2018-11-16,2014-08-10,2018-11-16,2018-11-16,1559,1559,United Kingdom,AUD,328687.01,410858.77,493030.52,361555.71,451944.64,542333.57,82171.75,Variable,102714.69,435510.29,AUD,370183.75,407202.12,AUD,410858.77,451944.64,2014-08-10,0.0779,2018-11-16,0.0869,Mental health,Criminal justice,SDG 15,SDG 2,Target 8.2,Target 9.4,Disabled persons,259,166,1
INDIGO-POJ-0139,3SC Capitalise,Complete,2016-11-29,2016-11-29,2018-01-12,2018-01-12,2016-11-29,2018-01-12,2018-01-12,409,409,USA,AUD,215751.04,269688.8,323626.56,237326.15,296657.68,355989.22,53937.76,Variable,67422.2,288567.02,AUD,245281.97,269810.16,AUD,269688.8,296657.68,2016-11-29,0.0953,2018-01-12,0.1152,Homelessness,Health,SDG 7,SDG 3,Target 1.4,Target 6.1,Youth,683,725,1
INDIGO-POJ-0140,Energise,Implementation,2013-01-14,2013-01-14,2017-08-19,2017-08-19,2013-01-14,2017-08-19,2017-08-19,1678,1678,USA,AUD,83633.17,104541.46,125449.75,91996.48,114995.6,137994.72,20908.29,Variable,26135.36,109768.53,AUD,93303.25,102633.58,AUD,104541.46,114995.6,2013-01-14,0.0734,2017-08-19,0.0684,Homelessness,Housing,SDG 15,SDG 13,Target 7.1,Target 9.2,Refugees,382,295,0
INDIGO-POJ-0141,Links for Life,Implementation,2014-12-30,2014-12-30,2016-01-06,2016-01-06,2014-12-30,2016-01-06,2016-01-06,372,372,USA,USD,98017.05,122521.31,147025.57,107818.75,134773.44,161728.13,24504.26,Fixed,30630.33,128647.38,USD,109350.27,120285.3,USD,122521.31,134773.44,2014-12-30,0.0559,2016-01-06,0.0576,Youth unemployment,Housing,SDG 14,SDG 13,Target 4.2,Target 8.3,Women,393,258,1
INDIGO-POJ-0142,Living Balance,Planned,2024-10-22,2024-10-22,2028-02-27,2028-02-27,2024-10-22,2028-02-27,2028-02-27,1223,1223,United Kingdom,CAD,318734.36,398417.95,478101.54,350607.8,438259.75,525911.7,79683.59,Variable,99604.49,422323.03,CAD,358974.57,394872.03,CAD,398417.95,438259.75,2024-10-22,0.0792,2028-02-27,0.085,Homelessness,Education,SDG 7,SDG 3,Target 2.5,Target 1.4,Youth,958,997,1
INDIGO-POJ-0143,New Horizons (Career Connect),Implementation,2022-02-08,2022-02-08,2024-04-27,2024-04-27,2022-02-08,2024-04-27,2024-04-27,809,809,Australia,USD,387895.22,484869.02,581842.82,426684.74,533355.92,640027.11,96973.8,Fixed,121217.25,516385.51,USD,438927.68,482820.45,USD,484869.02,533355.92,2022-02-08,0.0687,2024-04-27,0.0872,Homelessness,Criminal justice,SDG 10,SDG 8,Target 10.3,Target 10.5,Refugees,509,523,1
INDIGO-POJ-0144,Nottingham Futures,Implementation,2016-03-04,2016-03-04,2017-07-06,2017-07-06,2016-03-04,2017-07-06,2017-07-06,489,489,Australia,CAD,151550.67,189438.34,227326.0,166705.74,208382.17,250058.6,37887.67,Variable,47359.58,198910.25,CAD,169073.71,185981.09,CAD,189438.34,208382.17,2016-03-04,0.0982,2017-07-06,0.0962,Youth unemployment,Housing,SDG 16,SDG 2,Target 6.4,Target 9.3,Disabled persons,352,326,0
INDIGO-POJ-0145,Prevista,Planned,2022-01-24,2022-01-24,2025-09-19,2025-09-19,2022-01-24,2025-09-19,2025-09-19,1334,1334,Australia,GBP,83889.43,104861.79,125834.15,92278.38,115347.97,138417.56,20972.36,Fixed,26215.45,111677.81,GBP,94926.14,104418.75,GBP,104861.79,115347.97,2022-01-24,0.0985,2025-09-19,0.1146,Youth unemployment,Employment and training,SDG 5,SDG 15,Target 1.5,Target 7.4,Women,448,433,1
INDIGO-POJ-0146,Teens and Toddlers,Implementation,2011-10-10,2011-10-10,2015-04-18,2015-04-18,2011-10-10,2015-04-18,2015-04-18,1286,1286,United Kingdom,EUR,103614.9,129518.63,155422.35,113976.39,142470.49,170964.59,25903.73,Fixed,32379.66,136642.15,EUR,116145.83,127760.41,EUR,129518.63,142470.49,2011-10-10,0.0777,2015-04-18,0.0828,Homelessness,Criminal justice,SDG 7,SDG 2,Target 5.4,Target 10.5,Youth,392,248,1
INDIGO-POJ-0147,Think Forward (Tomorrow's People),Implementation,2017-06-20,2017-06-20,2020-03-01,2020-03-01,2017-06-20,2020-03-01,2020-03-01,985,985,Australia,USD,390176.81,487721.01,585265.22,429194.49,536493.12,643791.74,97544.2,Variable,121930.25,519422.88,USD,441509.45,485660.39,USD,487721.01,536493.12,2017-06-20,0.0762,2020-03-01,0.0984,Mental health,Education,SDG 4,SDG 16,Target 4.5,Target 4.4,Women,529,381,1
INDIGO-POJ-0148,London Homelessness Social Impact Bond (St Mungo's/Street Impact),Implementation,2021-12-20,2021-12-20,2026-08-09,2026-08-09,2021-12-20,2026-08-09,2026-08-09,1693,1693,USA,EUR,225453.14,281816.43,338179.71,247998.45,309998.07,371997.68,56363.29,Variable,70454.11,298725.41,EUR,253916.6,279308.26,EUR,281816.43,309998.07,2021-12-20,0.0814,2026-08-09,0.0962,Homelessness,Employment and training,SDG 12,SDG 17,Target 8.4,Target 2.4,Refugees,579,549,1
INDIGO-POJ-0149,London Homelessness Social Impact Bond (Thames Reach),Planned,2014-12-18,2014-12-18,2016-10-11,2016-10-11,2014-12-18,2016-10-11,2016-10-11,663,663,USA,USD,266980.58,333725.72,400470.87,293678.64,367098.3,440517.96,66745.14,Variable,83431.43,350412.01,USD,297850.21,327635.23,USD,333725.72,367098.3,2014-12-18,0.0951,2016-10-11,0.106,Mental health,Criminal justice,SDG 14,SDG 10,Target 3.2,Target 6.2,Disabled persons,451,374,1
INDIGO-POJ-0150,Manchester Multi-dimensional Treatment Foster Care- Adolescents (MTFC-A),Implementation,2020-12-16,2020-12-16,2025-07-22,2025-07-22,2020-12-16,2025-07-22,2025-07-22,1679,1679,Canada,AUD,168761.98,210952.47,253142.97,185638.18,232047.72,278457.26,42190.49,Fixed,52738.12,221500.1,AUD,188275.08,207102.59,AUD,210952.47,232047.72,2020-12-16,0.0594,2025-07-22,0.0554,Mental health,Education,SDG 12,SDG 6,Target 3.5,Target 8.2,Youth,234,265,0
INDIGO-POJ-0151,Be the Change,Complete,2019-04-02,2019-04-02,2021-01-07,2021-01-07,2019-04-02,2021-01-07,2021-01-07,646,646,United Kingdom,GBP,228383.49,285479.36,342575.23,251221.84,314027.3,376832.76,57095.87,Fixed,71369.84,305462.92,GBP,259643.48,285607.83,GBP,285479.36,314027.3,2019-04-02,0.0677,2021-01-07,0.0839,Mental health,Education,SDG 1,SDG 7,Target 9.4,Target 6.1,Disabled persons,699,745,1
INDIGO-POJ-0152,Entrenched Rough Sleepers Social Impact Bond- Pan-London,Implementation,2019-03-24,2019-03-24,2020-04-16,2020-04-16,2019-03-24,2020-04-16,2020-04-16,389,389,USA,USD,391806.34,489757.92,587709.51,430986.97,538733.72,646480.46,97951.58,Fixed,122439.48,519143.4,USD,441271.89,485399.08,USD,489757.92,538733.72,2019-03-24,0.0993,2020-04-16,0.1101,Mental health,Criminal justice,SDG 10,SDG 1,Target 9.4,Target 3.1,Youth,352,341,1
INDIGO-POJ-0153,HMP Peterborough (The One Service),Complete,2015-08-30,2015-08-30,2018-08-24,2018-08-24,2015-08-30,2018-08-24,2018-08-24,1090,1090,Canada,EUR,303411.75,379264.69,455117.62,333752.92,417191.15,500629.39,75852.94,Fixed,94816.17,411502.18,EUR,349776.86,384754.54,EUR,379264.69,417191.15,2015-08-30,0.0768,2018-08-24,0.1166,Mental health,Health,SDG 12,SDG 13,Target 8.5,Target 4.2,Refugees,282,165,1
INDIGO-POJ-0154,Entrenched Rough Sleeping Social Impact Bond- Greater Manchester,Planned,2018-07-04,2018-07-04,2021-08-14,2021-08-14,2018-07-04,2021-08-14,2021-08-14,1137,1137,Canada,CAD,299113.98,373892.47,448670.96,329025.37,411281.72,493538.06,74778.49,Fixed,93473.12,398195.48,CAD,338466.16,372312.77,CAD,373892.47,411281.72,2018-07-04,0.0581,2021-08-14,0.0702,Mental health,Health,SDG 1,SDG 6,Target 2.4,Target 7.3,Youth,243,235,1
INDIGO-POJ-0155,Entrenched Rough Sleeping Social Impact Bond- Newcastle and Gateshead,Complete,2025-07-12,2025-07-12,2029-09-14,2029-09-14,2025-07-12,2029-09-14,2029-09-14,1525,1525,USA,AUD,371496.7,464370.87,557245.05,408646.37,510807.96,612969.55,92874.17,Fixed,116092.72,501520.54,AUD,426292.46,468921.71,AUD,464370.87,510807.96,2025-07-12,0.0911,2029-09-14,0.1145,Homelessness,Health,SDG 3,SDG 9,Target 9.5,Target 1.2,Refugees,412,312,1
INDIGO-POJ-0156,"""It's All About Me"" National Adoption Scheme SOF",Complete,2025-12-26,2025-12-26,2029-03-20,2029-03-20,2025-12-26,2029-03-20,2029-03-20,1180,1180,USA,USD,378473.11,473091.39,567709.67,416320.43,520400.53,624480.64,94618.28,Fixed,118272.85,510938.7,USD,434297.9,477727.69,USD,473091.39,520400.53,2025-12-26,0.0933,2029-03-20,0.1325,Mental health,Education,SDG 8,SDG 13,Target 9.3,Target 7.2,Youth,963,925,1
INDIGO-POJ-0157,Single Homelessness Prevention Project (SHPS) Brent,Planned,2015-03-17,2015-03-17,2016-08-18,2016-08-18,2015-03-17,2016-08-18,2016-08-18,520,520,Canada,EUR,94469.97,118087.47,141704.96,103916.97,129896.21,155875.46,23617.49,Variable,29521.87,125172.72,EUR,106396.81,117036.49,EUR,118087.47,129896.21,2015-03-17,0.0513,2016-08-18,0.0672,Youth unemployment,Employment and training,SDG 1,SDG 9,Target 8.4,Target 4.3,Disabled persons,390,266,1
