ID,Impact Bond Name - (Value),Alternative Names - (Value),Stage of Development - (Value),Stage of Development - (Source ID's),Social Investment Prototype - (Value),Dates - Date outcomes contract signed - (Value),Dates - Date contracts between all parties signed - (Value),Dates - Anticipated completion date - (Value),Dates - Actual completion date - (Value),Dates - Start date of service provision - (Value),Dates - Anticipated end date of service provision - (Value),Dates - Actual end date of service provision - (Value),Dates - Anticipated duration of service provision - (Value),Dates - Actual duration of service provision - (Value),Dates - (Source ID's),Dates - (Notes),Jurisdiction - Jurisdiction - (Value),Jurisdiction - (Source ID's),Jurisdiction - (Notes),Overall project finance - Total investment commitment - Currency - (Value),Overall project finance - Total investment commitment - Amount - Min - (Value),Overall project finance - Total investment commitment - Amount - Exact - (Value),Overall project finance - Total investment commitment - Amount - Max - (Value),Overall project finance - Total investment commitment - Amount USD - Min - (Value),Overall project finance - Total investment commitment - Amount USD - Exact - (Value),Overall project finance - Total investment commitment - Amount USD - Max - (Value),Overall project finance - Maximum potential outcome payment - Currency - (Value),Overall project finance - Maximum potential outcome payment - Amount - (Value),Overall project finance - Maximum potential outcome payment - Amount USD - (Value),Overall project finance - Maximum potential loss - (Value),Overall project finance - Maximum potential return type - (Value),Overall project finance - Maximum potential return - (Value),Overall project finance - Configuration of the Contracting Parties - (Value),Overall project finance - Investor repayment - (Value),Overall project finance - Total outcome payments made - Currency - (Value),Overall project finance - Total outcome payments made - Amount - (Value),Overall project finance - Total outcome payments made - Amount USD - (Value),Overall project finance - (Source ID's),Overall project finance - (Notes),Investment Details - Total Funds Invested - Latest - Currency - (Value),Investment Details - Total Funds Invested - Latest - Amount - (Value),Investment Details - Total Funds Invested - Latest - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Date - (Value),Investment Details - Internal Rate of Return - Target - (Value),Investment Details - Internal Rate of Return - Latest - (Value),Investment Details - Internal Rate of Return - Date - (Value),Investment Details - (Source ID's),Investment Details - (Notes),Purpose and classifications - Social challenge - (Value),Purpose and classifications - Intervention - (Value),Purpose and classifications - Policy sector - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Purpose and classifications - (Source ID's),Purpose and classifications - (Notes),Service and beneficiaries - Target population - (Value),Service and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service and beneficiaries - Unit type of targeted service users or beneficiaries - (Value),Service and beneficiaries - Unit description of targeted service user or beneficiaries - (Value),Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value),Service and beneficiaries - Unit type of actual service users or beneficiaries engaged - (Value),Service and beneficiaries - Unit description of actual service user or beneficiaries engaged - (Value),Service and beneficiaries - (Source ID's),Service and beneficiaries - (Notes),Changes to project due to COVID-19 - (Value),Changes to project due to COVID-19 - (Source ID's),Notes - (Value)
INDIGO-POJ-0237,Social Impact Bond Project in Saijo city,,Complete,source1,,2018-04,,2021-02,,2018-04,,,,,,,,,,,,,,,,,JPY,1500000,13584.49556239812,,,,,,,,,source1,"[First Period] 1,000,000 per business for developing products using local speciality. 500,000 per business for businesses supporting local regeneration [Second Period]500,000 per business for businesses supporting local regeneration ",,,,,,,,,,,"Plus Social Investment, in cooperation with Saijo City, receives applications from companies in the city for the Regional Industrial Competitiveness Enhancement Subsidy System. Companies in the city that apply for the program need to undergo the first and second screening by the selection committee established by Plus Social Investment, and if they are selected, they can start their businesses. After the completion of the projects, the companies need to submit performance reports to the selection committee and report on the status of achievement. The selection committee reviews the degree of achievement of each adopted project based on those reports.",Employment and training,,,,,,,Companies and Nonprofit organisations.,,Other,,,,,,,,,
INDIGO-POJ-0238,Higashiomi City SIB Project,,Complete,source1,,2016-05,,,,2016-05,2021-02,2021-02,,,source1,This project had five phases. Phase1: 2016/5 Phase2: 2017/9 Phase3: 2018/9 Phase3: 2018/7 Phase4: 2019/4 Phase4: 2019/9 Phase5: 2020/4; Anticipated date service provision: Phase1: 2017/3 Phase2: 2018/2 Phase3: 2019/2 Phase3: 2019/2 Phase4: 2020/1 Phase4: 2020/1 Phase5: 2021/2,,,,,,,,,,,JPY,13130000,120691.24,,,,,,,,,,,,,,,,,,,,,"Higashiomi Sanpoyoshi Kikin receives applications for various subsidy schemes from companies and organisations in the city. Those companies and organisations that apply are selected by a committee set up by the Higashiomi Sanpoyoshi Kikin. Once applicants are selected, they begin their projects. After the completion of the selected project, the selected companies need to submit a performance report to the Higashiomi Sanpoyoshi Kikin and report on the achievement of the performance target. Based on this report, the Board examines the degree of achievement of the results of each adopted project.",Employment and training,,,,,,,Companies and other organisations,19,Other,Companies and other organisations,,,,,,,,
INDIGO-POJ-0239,Outreach support project for socially reclusive young people to help them take the next step towards employment,,Complete,source1,,2018-11,,,,2018-11,,2020-01,,,source1,"This project had two phases. Signed: Phase1: 2018/11 Phase2: 2019/08, Started: Phase1: 2018/11 Phase2: 2019/08, Anticipated end: Phase1: 2019/02 Phase2: 2020/01",,,,,,,,,,,JPY,18500000,167542.1119362434,,,,,,,,,"source1,source2","This is the total payment for 2 periods, split into 9,000,000 and 9,500,000. In terms of the intervention description, the translation you mentioned may sound a bit off but that corresponds to the document in Japanse.  ",,,,,,,,,,Socially isolated young people with no employment,,Employment and training,,,,,"source1,source2",,30 socially isolated young people who are unable to use employment support system due to various reasons including social withdrawal (hikikomori) ,45,Individual,,,,,,"Targeted users: Phase1: 35, Phase2: 45",,,
INDIGO-POJ-0240,Support for Self-reliance of Persons Requiring Support,,Complete,source1,,2021-08,,,,2021-08,2022-02,,,,,,,,,,,,,,,,JPY,9000000,82004.6,,,,,,,,,,,,,,,,,,,,,"The Kumamoto Health Support Research Institute assigns rehabilitation specialists to the nursing care consultation counter in Koshi City, and provides services that lead to the proper use of welfare equipment and home renovations and support for independence as part of the Comprehensive Project for Daily Life Support* (*A nursing care prevention project conducted by a municipality for those who need support and those above 65 years old).",Health,,,,,,,,50,Individual,,,,,,,,,
INDIGO-POJ-0241,Self-reliance support through the free school program: Providing counselling and school guidance for children who play truant,,Complete,source1,,,2018-09,,,2018-09,,2020-01,,,source1,"This project has two phases. Signed: Phase1: 2018/09 Phase2: 2019/07, started: Phase1・・018/09 Phase2・・019/07, Ended: Phase1・・019/01 Phase2・・020/01",,,,,,,,,,,JPY,185000000,1675421.119362434,,,,,,,,,"source1,source2","This is the total payment for 2 periods, split into 9,000,000 and 9,500,000. ",,,,,,,,,,Children who play truant (or children refusing to attend school).,"In order to provide more support to children who have various problems and cannot fit into the existing school system, they encourage the service users to attend Smile Factory and receive educational counselling, as well as to promote social independence of the service users (students) through the guidance at Smile Factory. The Smile Factory is a free school that accepts students of all ages, from elementary school to high school (only elementary school to junior high school for this SIB project). Toy Box operates Smile Factory and provides educational counselling to children and their parents with various special needs such as withdrawal, LD (learning disabilities), ADHD (attention deficit disorder), and developmental disabilities. In general, free schools offer group classes, but Smile Factory also offers individual classes for children who are not comfortable in group classes.",Education,,,,,source1,,"Children with various special needs such as  LD (learning disabilities), ADHD (attention deficit disorder), and other developmental disabilities.",32,Individual,,,,,source1,"Phase1: 23, Phase2: 32",,,
INDIGO-POJ-0242,SIB Project on Optimized Medication,,Complete,source1,,,2018-08,,,2018-08,,2021-01,,,source1,,,,,,,,,,,,JPY,8794000,79641.4,,,,,,,,,,,,,,,,,,,,,"In Japan, there is a system to cover the cost of prescription drugs with health insurance. Some patients tend to visit multiple medical institutions for their same diseases frequently due to mental anxiety. In order to deal with this problem, Cancerscan analyzes the receipt data to identify people in Beppu City and Nakatsu City who take duplicate medication. Next, Cancerscan sends notes to the service users to encourage them to consult their doctors about their medication. In addition, Cancerscan prepares a flyer to remind people to carry their medication handbook, which Beppu City, Nakatsu City, and Bungo-Ono City distribute to pharmacies.The goal of these efforts is to achieve the necessary and sufficient prescriptions for patient's good health.",Health,,,,,,,Nakatsu and Beppu residents who are taking duplicated medication (Bungo-Ono City did not conduct any interventions by identifying individuals).,337,Individual,,,,,,,,,
INDIGO-POJ-0243,VORTIS' SIB Program in Mima City,,Implementation,source1,,2021-04,,,,2019-07,2023-11,,,,source1,"Start: FY2019: 7/2019, FY2020: 4/2020, FY2021: 4/2021, FY2022: 4/2022, FY2023: 4/2023, End: FY2019: 7/2019, FY2020: 4/2020, FY2021: 4/2021, FY2022: 4/2022, FY2023: 4/2023",,,,,,,,,,,JPY,38400000,350845.1347647327,,,,,,,,,source1,,,,,,,,,,,,,Health,,,,,,,,1800,Individual,,,,,source1,,,,
INDIGO-POJ-0244,Lifelong Work Support Project in Okayama City,,Implementation,source1,,,2019-07,,,2019-08,2023-03,,,,source1,,,,,,,,,,,,JPY,235040000,2156132.464911476,,,,,,,,,source1,,,,,,,,,,,,"A special department has been set up for consultations from users (the elderly, etc.) who wish to work or participate in society. The department collects the information on the situations of the users, their employment preferences, and their abilities, and shares it to employment support organizations such as private employment agencies and social welfare councils. Each organization introduces jobs to the users, and provides support as needed, such as interview guidance, workplace visits, job trials, and consultation after job placement. In addition, the organizations aim to raise awareness among employers to actively employ the elderly and negotiate working conditions to ensure sustainable work environments.",Employment and training,,,,,source1,,,,,,,,,source1,,,,
INDIGO-POJ-0245,Health Point Project Utilizing SIB,Okayama Health Operation,Implementation,source1,,,2019-02,,,2019-04,,2022-03,,,source1,,,,,JPY,,26000000,,,238510.2,,JPY,370388000,3397743.3,,,,,,,,,source1,"370.388 million yen Only 95 million yen is performance-linked payment. The rest is fixed cost (the cost of prizes is included in the fixed cost, and the unused cost can be refunded and applied to the fund).",,,,,,,,,,,"The PS-Setouchi invites citizens aged 35 or older and those who work in Okayama to participate in the Health Point Program. PS-Setouchi issues point cards with QR codes to registered participants. The participants gain Health Point when they consume and purchase health-related services (fitness, healthy diet, culture programs, events, etc.) at local shops and restaurants.",Health,,,,,,,,15000,Individual,,,,,source1,,,,
INDIGO-POJ-0246,Quit Smoking With Your Manitoba Pharmacist,,Implementation,source1,,,,,,,,,,,,,,,,CAD,,2000000,,,1492537.3134328357,,CAD,2120000,1582089.552238806,,,,,,,,,,,,,,,,,,,,"About 220,000 Manitobans currently smoke, causing short-term and long-term health effects for themselves and those around them.","The 'Quit Smoking with Your Manitoba Pharmacist' program has pharmacists with specialized training to help smokers quit smoking. 
",Health,,,,,,,Manitobans over the age of 18 are eligible for assistance and can approach participating pharmacies for an initial assessment.,4500,Individual,,,,,,,,,
INDIGO-POJ-0247,Wildlife Conservation Bond,Rhino Bond,Implementation,source1,,2022-03,,2027-03,,,,,,,source1,,,,,USD,,150000000,,,150000000,,USD,163760000,163760000,,,,,,,,,source1,,,,,,,,,,,,The World Bank will make payments through the Global Agent to the Park Managers in instalments to fund rhino conservation in the form of Conservation Investment Payments totaling ZAR 152 million. These Conservation Investment Payments will be utilized by the Park Managers to implement conservation and adaptive management activities that seek to maximize net rhino growth rates over five years.,Agriculture and environment,,,,,"source1,source2",,,,,,,,,,,,,
INDIGO-POJ-0248,Escola Digital MUDA -  EUSOUDIGITAL LISBOA,,Implementation,source1,NO,2021-10,,,,2021-10,2021-06,,,,source1,,PT,source1,,EUR,,1750000,,,2058823.5294117648,,,,,,,,,,,,,,,,,,,,,,,,Adult digital exclusion,"Digital inclusion capacity building programme for adults that never used internet, mainly those between 45 and 64 years old, with learning by doing individual & onsite sessions of 2 hours delivered by volunteers to improve digital competences up to ""beginners level"""" of the QDRCD (Quadro Dinâmico de Referência de Competência Digital). The training can be done within families or the community building on partnerships with municipalities, libraries, schools, universities, companies and others.
""",Education,,,,,,,Adults,250000,Individual,,,,,,,,,
INDIGO-POJ-0249,Escola Digital MUDA -  EUSOUDIGITAL ALGARVE,,Implementation,"source1,source3",,2021-07,,,,2021-07,2023-06,,,,source1,,,,,EUR,,362411.36,,,426366.3058823529,,,,,,,,,,,,,,,,,,,,,,,,Digital Inclusion/ Adults digital exclusion,"Digital inclusion capacity building programme for adults that never used internet, mainly those between 45 and 64 years old, with learning by doing individual & onsite sessions of 2 hours delivered by volunteers to improve digital competences up to ""beginners level"" of the QDRCD (Quadro Dinâmico de Referência de Competência Digital). The training can be done within families or the community building on partnerships with municipalities, libraries, schools, universities, companies and others.",Education,,,,,source1,,Digitally excluded adults ,50000,Individual,,,,,,,,,
INDIGO-POJ-0250,Digital Literacy Schools for the Future - ALENTEJO,,Implementation,source1,NO,2021-04,,,,2021-04,2023-06,,,,source1,,PT,source1,,EUR,,182341.15,,,214519,,,,,,,,,,,,,source1,,,,,,,,,,,Children digital inclusion,"Adaptation of the 'Riconnessioni project' to the Portuguese context, aiming to increase the digital literacy of 500 students attending the 3rd and secondary school level, regular and/or professional, in particular in rural areas.",Education,,,,,source1,,Students,500,Individual,,,,,source1,,,,
INDIGO-POJ-0251,Digital Literacy Schools for the Future - CENTER,,Implementation,source1,NO,2021-01,,,,2021-01,2023-06,,,,source1,,PT,source1,,EUR,,182341.15,,,214519,,,,,,,,,,,,,,,,,,,,,,,,Children digital exclusion,"Adaptation of the 'Riconnessioni project' to the Portuguese context, aiming to increase the digital literacy of 500 students attending the 3rd and secondary school level, regular and/or professional, in particular in rural areas.",Education,,,,,,,Students,500,Individual,,,,,,,,,
INDIGO-POJ-0252,Digital School MUDA -  I am digital (Alentejo),,Implementation,source1,NO,2020-11,,2023-06,,2020-11,,,,,source1,,PT,source1,,EUR,,377386.53,,,428848.3295454546,,,,,,,,,,,,,,,,,,,,,,,,Adult digital exclusion,"Digital inclusion capacity building programme for adults that never used internet, mainly those between 45 and 64 years old, with learning by doing individual & onsite sessions of 2 hours delivered by volunteers to improve digital competences up to ""beginners level"" of the QDRCD (Quadro Dinâmico de Referência de Competência Digital). The training can be done within families or the community building on partnerships with municipalities, libraries, schools, universities, companies and others.",Education,,,,,,,Digitally excluded adults,50000,Individual,,,,,source1,,,,
INDIGO-POJ-0253,Digital School MUDA -  I am digital CENTER,,Implementation,source1,NO,2020-11,,2023-06,,2020-11,,,,,source1,,PT,source1,,EUR,,1422417,,,1616382.9545454546,,,,,,,,,,,,,source1,,,,,,,,,,,Adult digital exclusion,"Digital inclusion capacity building programme for adults that never used internet, mainly those between 45 and 64 years old, with learning by doing individual & onsite sessions of 2 hours delivered by volunteers to improve digital competences up to ""beginners level"" of the QDRCD (Quadro Dinâmico de Referência de Competência Digital). The training can be done within families or the community building on partnerships with municipalities, libraries, schools, universities, companies and others.",Education,,,,,source1,,Digitally excluded adults,220000,Individual,,,,,source1,,,,
INDIGO-POJ-0254,Digital School MUDA -  I am digital NORTH,,Implementation,source1,NO,2020-11,,,,2020-11,2023-06,,,,source1,,PT,,,EUR,,2762392.14,,3139081.977272728,,,,,,,,,,,,,,,,,,,,,,,,,Digital exclusion,"This is a digital inclusion capacity building programme for adults that never used internet, mainly those between 45 and 64 years old, with learning by doing individual & onsite sessions of 2 hours delivered by volunteers. The goal is to improve digital competences up to ""beginners level"" of the QDRCD (Quadro Dinâmico de Referência de Competência Digital). The training can be done within families or the community building on partnerships with municipalities, libraries, schools, universities, companies and others.",Education,,,,,source1,,Adults who have never used internet,430000,Individual,,,,,source1,,,,
INDIGO-POJ-0259,Start from the Beginning - Chinese Supporting Scheme for Non-Chinese Speaking Students (NCS) in Kindergarten,,Implementation,source1,,,,,,2020,,,,,source1,"Exact date is not stated, but it started in 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Government statistics show that one in three South Asian children in Hong Kong lives below the poverty line, lack of Chinese proficiency being one of the causes as it affects studies and future employment. The goal of the project is to perfect the Chinese as a second language pedagogy for NCS (Non-Chinese speaking) students in Hong Kong.","The aim of the project is to improve children's language skills in Cantonese and thus their competitiveness in the long run. The project expects to narrow the proficiency gap between Chinese and non-Chinese students by half. As a charitable organization committed to creating a world without poverty, Oxfam Hong Kong created the Chinese enrichment education support program for NCS children with an aim to improve their language skills in Cantonese.It provides four seed schools and 70 network schools with advanced professional training courses for their teachers and academic support spanning six areas.",Education,"1,4,10",,,,source1,,"Kindergartens, Non-Chinese speaking students and their teachers",1444,Individual,,,,,source1,"The project is meant to benefit 74 kindergartens, which accounts for around one-fifth of kindergartens in Hong Kong, along with 1,200 NCS students and 170 teachers, totally 1444 beneficiaries",,,"The pandemic in 2020-2021 has led to frequent class suspensions. To overcome these obstacles, OHK and its partners had to resort to online classes, online story-telling courses and a four-week summer enrichment course through Zoom. Families without internet access and tablets can apply for free services from social welfare organizations, and are provided with Wi-Fi eggs. Zoom manuals and consultation hotline services were also provided to assist parents with e-learning engagements. 

Start from the Beginning – Chinese Supporting Scheme for Non-Chinese Speaking Students in Kindergarten’ was launched in 2015. The first stage (2015 to 2017) was co-funded by the SIE Fund and Oxfam. The SIE Fund, Credit Suisse and Oxfam supported Stage II (2017 to 2019). And Lee Hysan Foundation, Wu Jieh Yee Charitable Foundation, Credit Suisse, Chen Yet-Sen Family Foundation, Van Tse Zung Charitable Foundation and Oxfam supported Pre-stage III (2019 to 2020). PwC played a pivotal role in the launch of the Pay-for-Success."
INDIGO-POJ-0260,Public Education & Business Coalition,,Implementation,source1,,,,,,,,,,,source1,Duration: 3 years,,,,USD,1400000,,,1400000,,,,,,,,,,,,,,source2,,,,,,,,,,,"Difficulties in hiring new teachers in secondary schools in Colorado, US. ","The project aims to reduce teacher turnover and cut the costs associated with recruiting, onboarding, and training new teachers. ",Education,4,,,,source1,,"Prospective teachers in seven districts of Colorado, including Aurora, Adams 12, and Durango.",335,Individual,,,,,source1,"Goal/output: Mint 335 new teachers, including a significant number of teachers of color.",,,
INDIGO-POJ-0261,Reducing homelessness - Denmark,,Implementation,source1,NO,2021-12,,,,2022-01,2024-10,,,,source1,,,,,DKK,,3600000,,,572337.0429,,,,,,,,,,,,,"source1,source3",,,,,,,,,,,"Homelessness (Ikast-Brande Municipality does not have many homeless people, and they therefore find it difficult to implement an intensive and specialized effort for this target group due to limited competence among the professionals).","Based on the principles of Housing First, the homeless people receive help to find housing and social support. The intervention is targeted at the homeless citizens in Ikast-Brande Municipality, who are having a particularly difficult time and who need a focused effort to be helped further in their lives. The intervention is based on the Housing First method CTI and citizens receive support for approx. nine months.",Homelessness,,,,,source1,,All homeless and vulnerable citizens in Ikast-Brande Municipality.,20,Individual,,,,,"source1,source2",,,,
INDIGO-POJ-0262,Family counselling for Vulnerable Families with a Non-Danish Ethnic Background,,Implementation,source1,,2021-11,,,,2022-01,2025-01,,,,source1,,,,,DKK,,4800000,,,763116.0572,,,,,,,,,,,,,source1,,,,,,,,,,,,"Family counselling based on the families’ needs. The intervention consists of two types of treatment depending on the family's challenges and needs: 1. Ordinary family therapy is given to families where the parents need light or moderate help to navigate everyday life and strengthen their relationship with the child or young person. The treatment consists of help for the family approx. 2-4 hours per week. 2. Intensive family treatment is given to families where the children show serious signs of unwellness, where one or more children are at risk of being placed in care and the level of concern is high. The treatment consists of help for the family for approx. 15-20 hours per week.",Child and family welfare,,4,,,"source1,source2",,Families with a non-Danish ethnic background,25,Other,Families  ,,,,source1,,,,
INDIGO-POJ-0263,"Reducing Youth Homelessness - Roskilde, Denmark",,Implementation,source1,,2022-01,,,,2022-01,2024-01,,,,,,,,,DKK,,4000000,,,635930.0476947536,,,,,,,,,,,,,source1,,,,,,,,,,,,"This is a comprehensive intervention that supports young people in unstable housing to transition to live by and support themselves. The intervention is inspired by the methods Individual Placement and Support (IPS) and Critical Time Invention (CTI), which are proven effective methods to support citizens in a critical transitional phase such as the transition to their own home for young people in vulnerable positions. At the same time, Roskilde makes temporary housing available to the young people until they can move into their own home.",Homelessness,,,,,"source1,source2",,,28,Individual,,,,,source1,,,,
INDIGO-POJ-0264,Reducing Homelessness Among Less Vulnerable Young People - Denmark,,Implementation,source1,,2020-12,,,,2021-12,2024-12,,,,source1,,,,,DKK,,7300000,,,1107738.998482549,,,,,,,,,,,,,,,,,,,,,,,,"Aarhus Municipality has a particular challenge with young homeless people as it is the city in Denmark with the highest proportion of young homeless people, compared to the number of inhabitants. The city council has therefore defined an objective to halve the number of young homeless people between the ages of 18-24 in five years - from 172 in 2019 to a maximum of 86 in 2024, and a number of Housing First interventions have been initiated. The investment is one of several initiatives launched by Aarhus Municipality to achieve the objective.","The intervention is targeting the less vulnerable young homeless people in Aarhus Municipality who are closer to permanent housing. The goal is for the young people to move away from hostels into their own accommodation, and for them to get closer to starting (or start) employment or education. At the same time, the goal is to increase the young people’s life skills - so that in the long term they will be able to achieve self-efficacy.  ",Homelessness,,,,,"source1,source2",,Homeless young people,45,Individual,,,,,,,,,
INDIGO-POJ-0265,Reducing Homelessness among the Most Vulnerable Young People - Denmark,,Implementation,source1,,2020-12,,,,2021-12,2024-12,,,,,,,,,DKK,,15900000,,,2412746.585735964,,,,,,,,,,,,,source1,,,,,,,,,,,Homelessness,"The intervention is targeting the most vulnerable young homeless people in Aarhus Municipality. The goal is for the young people to move away from hostels and into their own accommodation, and for them to get closer to starting (or start) employment or education. At the same time, the goal is to increase the young people's life skills - so that in the long term they will be able to achieve self-efficacy. The young people who take part in the project must be offered an intensive, comprehensive, and flexible intervention, which has the character of a preventive effort in relation to the development of chronic homelessness or further worsening of current challenges.",Homelessness,,,,,source1,,Homeless young people,36,Individual,,,,,source1,,,,
INDIGO-POJ-0266,Prevention of Late-Stage Complications from Type-2 Diabetes - Denmark,,Implementation,source1,,2021-11,,,,2022-02,2028-02,,,,,,,,,DKK,,13300000,,,2018209.40819423,,,,,,,,,,,,,source1,,,,,,,,,,,Late complications from diabetes are expensive for society and reduce the quality of life for the citizen. Structural barriers make it difficult for the municipality to deliver the efforts that the citizen needs.,"The intervention is targeting vulnerable citizens with type 2 diabetes throughout Aarhus Municipality, who need help to prevent late-stage complications as a result of their diabetes. The intervention is split into four phases of three months' duration, which provide the citizens with knowledge, skills and relationships that support them in achieving a better quality of life.  To ensure that the citizens maintain the new, healthier habits, there is a follow-up period of two years. The intervention includes both individual and group-based interventions and includes, for example, individual conversations, training, cooking, mentoring, other activities and family-oriented activities.",Health,3,,,,"source1,source2",,Vulnerable citizens with type 2 diabetes,450,Individual,,,,,"source1,source2",,,,
INDIGO-POJ-0267,Treatment of Stress SIB - Denmark,,Implementation,source1,,2022-12,,,,2022-01,2022-10,,,,source1,,,,,DKK,,1000000,,,158982.5119236884,,,,,,,,,,,,,,,,,,,,,,,,"Despite many years of various efforts against stress, the number of stressed Danes has steadily increased. It is estimated that 35,000 Danes are on sick leave due to stress. The Danish Health Authority's Health Profile, Danskernes Sundhed, points out that the proportion of Danes with a high stress level has increased from 20.8% in 2010 to 25.1% in 2017. According to the Danish Health Authority (2016), a psychologically stressful work environment costs DKK 3.4 billion. per year in Denmark, including lost productivity, 670,000 lost working days due to short-term sickness absence, 350,000 days of long-term sickness absence and 170 early retirements. In most of the country's municipalities today, evidence-based stress treatment is not offered to citizens suffering from stress, despite the fact that it is a disease that affects widely and that we can remedy with treatment that we know works - here Åben og Rolig is one of the best examples at home.","Evidence-based group treatment to people suffering from stress through knowledge, professional support and strategies to reduce stress and strengthen mental health. Åben og Rolig is an evidence-based stress prevention and treatment concept for adults and young people developed at the University of Copenhagen, which is offered and run by Fonden Mental Sundhed.",Health,3,,,,"source1,source2",,Stressed citizens in Denmark,70,Individual,,,,,source1,,,,
INDIGO-POJ-0268,Treatment of Families Affected by Violence - Denmark,,Implementation,source1,,2021-04,,,,2021-09,2025-09,,,,source1,,,,,DKK,,4700000,,,747217.8060413355,,,,,,,,,,,,,source1,,,,,,,,,,,"Violence in close relationships leaves scars for life - both for the partner exposed to violence and for the children who grow up in a home with violence. With derived social, health and employment-oriented effects, violence also has large socio-economic costs. ","Specialized therapy to families in domestic violence, including therapy to the violent partner, their partner and children. A goal of the intervention is also to create more knowledge about the consequences and derived costs associated with violence in families, and how social interventions that work can create savings across municipalities, regions and the state. The investment case therefore affects municipal, state and regional budgets, as violence is costly for both the social, health and judicial systems.",Child and family welfare,,11,,,"source1,source2",,,25,Individual,,,,,source1,,,,
INDIGO-POJ-0269,Specialized help for children and young people from families with drug or alcohol abuse - Denmark,,Implementation,source1,,2021-03,,,,2021-08,2024-08,,,,source1,,,,,DKK,,3200000,,,508744.0381558029,,,,,,,,,,,,,source1,,,,,,,,,,,"Many children and young people from families with drug or alcohol abuse experience difficulties in relation to their daily well-being and development as a result of their upbringing. However, young people quickly go under the radar, even though we know that children and young people who grow up in families with drug abuse do worse than their peers, just as growing up can have an impact on their education, work and family life later on.","The intervention consists of individual therapy and group courses, which are provided by the non-profit organization TUBA. TUBA specializes in helping children and young people from families with drug or alcohol abuse. The intervention has been tested in a large number of municipalities with positive effects on children and young people's well-being and coping skills and with a reduction in the young people's symptoms of anxiety, PTSD and depression.",Child and family welfare,8,4,,,"source1,source2",,Young people aged 14-35 living in Brøndby Municipality,120,Individual,,,,,source1,,,,
INDIGO-POJ-0270,A Better Education for Vulnerable Children and Children Placed in Care - Denmark,,Implementation,source1,,2022-01,,,,2022-05,2030-05,,,,source1,,,,,DKK,,18400000,,,2925278.219395867,,,,,,,,,,,,,source1,,,,,,,,,,,"To support the learning of the most vulnerable and placed children through a long-term and holistic effort, so that they can to a greater extent be retained in and complete primary school and youth education.","The intervention is a comprehensive and long-term teaching and mentoring program intended to support vulnerable children and children in care to graduate from primary and secondary school, thus building a stronger foundation for a better life. The program lasts six years, and follows the participants at least until they finish primary school. The program consists of learning camps, a mentoring scheme based on the help of volunteers as well as building bridges from the program to the children's everyday life.",Education,4,,,,"source1,source2",,Placed and vulnerable children in Aarhus Municipality,80,Individual,,,,,,,,,
INDIGO-POJ-0271,Plymouth Refugee Opportunities,Refugee Better Outcomes Partnership - Plymouth,Implementation,source1,NO,2022-01,,,,2021-11,2024-03,,,,source1,,GB,source1,,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refugee Integration in the UK,"This initiative aims to increase the self-sufficiency and integration of newly granted refugees, helping them to move into work, learn English, access housing and build links in their local communities. It will encourage new partnerships and evaluate activities to better understand what works for refugees. 
",Employment and training,,,,,source1,,The project is working with those who have been granted refugee status or humanitarian protection since 24 February 2020 and are economically active (actively seeking work or ready to take active steps towards securing work).,,Individual,,,,,source1,,,,
INDIGO-POJ-0272,COMPASS Social Impact Bond,,Implementation,source1,NO,2018-02,,2025-09,,2018-10,2023-09,,,,source1,,AU,source1,,AUD,,,14200000,,,10676691.72932331,,,,,,,,,,,,source1,,,,,,,,,,,"Young people leaving care are more likely to be homeless, unemployed, suffer mental health concerns or be involved in the criminal justice system, compared to other young people",COMPASS helps young people successfully transition from Out of Home Care (OOHC) and set them on a positive path to independence.,Child and family welfare,,,,,"source1,source2",,Young people between the ages of 16.5-18.5 who are in: 1. Out of Home Care; 2. Foster care; 3. Kinship care; 4. Residential care; 5. Lead tenant; and 6. Youth Justice Facility whose statutory order expires within six months,202,Individual,,,,,"source1,source2",,,,
INDIGO-POJ-0273,The Deshkan Ziibi Conservation Impact Bond,Canada Conservation Impact Bond,Implementation,source1,NO,2019-01,,,2023,2020-03,,,,,"source1,source3",,CA,source1,,CAD,,130000,,,97744.3609022556,,,,,,,3% to 5%,,,,,,"source1,source3",,,,,,,,,,,"The world is facing dual biodiversity and climate crises, with ecosystems under threat in Canada and around the globe. In addition to being Canada's  most densely populated region , the Carolinian Zone is the most biodiverse ecoregion in the country. The Carolinian Zone is home to  more than 50% of the federally listed Species at Risk  in Canada and has been identified as the most imperiled region in Ontario.",The DZCIB is an outcomes-based financial instrument focused on reconciling peoples and ecosystems by building capacity for growing healthy landscapes with Indigenous leadership and nature-smart solutions.,Agriculture and environment,,,,,"source1,source2",,"The DZCIB is a five-year pilot project that seeks to accelerate healthy landscapes, nature-based solutions, advance Indigenous reconciliation, and empower human-nature relationships in southern Ontario. Included in the DZCIB pilot are 69 hectares (170 acres) of land in the Carolinian Zone.",,,,,,,source1,,,,
